"","specname"
"274","Suezichthys bifurcatus"
"275","Suezichthys caudavittatus"
"276","Suezichthys cyanolaemus"
"277","Suezichthys devisi"
"278","Suezichthys notatus"
"279","Suezichthys ornatus"
"280","Suezichthys rosenblatti"
"281","Suezichthys russelli"
"282","Suezichthys soelae"
"283","Symphodus bailloni"
"284","Terelabrus rubrovittatus"
"285","Thalassoma ascensionis"
"286","Thalassoma heiseri"
"287","Thalassoma loxum"
"288","Thalassoma lutescens"
"289","Thalassoma newtoni"
"290","Thalassoma nigrofasciatum"
"291","Thalassoma noronhanum"
"292","Thalassoma robertsoni"
"293","Thalassoma sanctaehelenae"
"294","Thalassoma septemfasciatum"
"295","Thalassoma virens"
"296","Wetmorella albofasciata"
"297","Wetmorella tanakai"
"298","Xenojulis margaritaceus"
"299","Xiphocheilus typus"
"300","Xyrichtys blanchardi"
"301","Xyrichtys incandescens"
"302","Xyrichtys javanicus"
"303","Xyrichtys mundiceps"
"304","Xyrichtys rajagopalani"
"305","Xyrichtys sanctaehelenae"
"306","Xyrichtys splendens"
"307","Xyrichtys victori"
"308","Xyrichtys wellingtoni"
"309","Calotomus japonicus"
"310","Calotomus zonarchus"
"311","Cetoscarus ocellatus"
"312","Chlorurus capistratoides"
"313","Chlorurus cyanescens"
"314","Chlorurus microrhinos"
"315","Chlorurus perspicillatus"
"316","Chlorurus rhakoura"
"317","Chlorurus spilurus"
"318","Chlorurus troschelii"
"319","Nicholsina usta collettei"
"320","Scarus arabicus"
"321","Scarus chinensis"
"322","Scarus coelestinus"
"323","Scarus collana"
"324","Scarus dubius"
"325","Scarus fuscocaudalis"
"326","Scarus fuscopurpureus"
"327","Scarus gracilis"
"328","Scarus guacamaia"
"329","Scarus hoefleri"
"330","Scarus hypselopterus"
"331","Scarus iseri"
"332","Scarus koputea"
"333","Scarus maculipinna"
"334","Scarus oviceps"
"335","Scarus ovifrons"
"336","Scarus persicus"
"337","Scarus russelii"
"338","Scarus trispinosus"
"339","Scarus xanthopleura"
"340","Scarus zelindae"
"341","Scarus zufar"
"342","Sparisoma amplum"
"343","Sparisoma axillare"
"344","Sparisoma frondosum"
"345","Sparisoma griseorubrum"
"346","Sparisoma rocha"
"347","Sparisoma rubripinne"
"348","Sparisoma strigatum"
"349","Neoodax balteatus"
"350","Odax cyanoallix"
"351","Olisthops cyanomelas"
"352","Siphonognathus argyrophanes"
"353","Siphonognathus attenuatus"
"354","Siphonognathus beddomei"
"355","Siphonognathus caninis"
"356","Siphonognathus radiatus"
"357","Siphonognathus tanyourus"
